sourceDataRow,paper_id,source_study_id,paper_title,paper_doi,cohort_family,population_label,setting,outcome_scope,time_loss_definition,time_loss_threshold,sex,age_category,playing_level,geography,discipline,source_incidence_definition,source_burden_definition,source_exposure_unit,exposure_construction,source_notes,source_evidence,rate_sd,review_flags,observation_id,injury_count,exposure_player_hours,rate_per_1000_player_hours,reported_rate_per_1000,calculated_rate_per_1000,ci95_lower,ci95_upper,source_count_field,source_rate_field,injury_location,tissue_type,injury_diagnosis,onset,player_position,laterality,outcome_target,metric,incidence_per_1000_player_hours,burden_days_per_1000_player_hours,source_context_row,source_context_csv,analysis_route,primary_model_eligible,sensitivity_definition,sensitivity_estimated_exposure,sensitivity_rounded_reconstruction,scope_verification,overlap_verification,metric_alignment_verification,source_parent_id,duplicate_of,arithmetic_method,inferred_exposure_player_hours,inferred_injury_count_estimate,rounding_assumption,inference_usable_for_count_likelihood,meanAge,ageRange,sampleSizePlayers,numberOfTeams,observationDuration,dataCollectionPeriod,numberOfSeasons,studyDesign,trialArm,randomisedControlledTrial,geneticGroup,injuryDefinition,injuryDefinitionDescription,exposureDefinitionDescription,mechanismReportingDescription,recurrenceDefinitionDescription,severityDefinitionDescription,source_context_injuryMostCommonLocation,source_context_injuryMostCommonType,source_context_injuryMostCommonDiagnosis,population_role,population_partition_evidence,outcome_coverage_restriction,exposure_method_evidence,exposure_method_categories,exposure_method_details,standard_90_minute_pitch_formula,exposure_method_adjudication,exposure_method_sensitivity_only,historical_source_family_role,historical_source_family_evidence,descriptor_status,days_lost
450,S2615,S2615,Time-loss injuries and illnesses at the FIFA world cup Qatar 2022.,10.1080/24733938.2024.2357568,S2615,Total,overall,all_injuries_scope_review,time loss,source_defined_threshold_unconfirmed,Male,Senior,Professional/international,Qatar,Football,injuries per 1000 player-hours; illnesses per 1000 competition days,days lost per 1000 player-hours for injuries; per 1000 competition days for illnesses,player-hours,source construction requires review,"[2026-07-27] Analysis source treatment (27 July 2026): standalone tournament anchor for the FIFA World Cup Qatar 2022. It owns that tournament denominator and remains included in the default analysis export. || [2026-07-13] Batch 019 manual primary-PDF extraction. Methods, Tables 1-2, Figures 1-2, results, discussion, and limitations checked (pp. 275-282). Total-row extraction covers the 705 consenting male players from 28 national teams during FIFA World Cup Qatar 2022. Injury analysis uses 81 events: the source recorded 82 injuries but one player sustained two injuries in different body areas during one incident, so only the most severe was included in analyses. The printed total exposure is 14,362 h while separately printed training and match exposure is 12,227 + 2,136 = 14,363 h; both direct values are retained without reconciliation. The abstract/text reports match incidence 20.6/1000 h and Figure 2 separately prints 46 events and 21.6/1000 h; event counts and the match rate are therefore intentionally left out pending reviewer resolution. Location/tissue rows retain direct Table 1-2 values and inline 95% CIs where reported. The paper reports location/tissue median time loss, not schema-compatible mean-days fields. Illness data are direct total values; respiratory and gastrointestinal counts are system-level values, while infection and drug-related poisoning are etiological values.","source CSV: injuryTimeLossCount, injuryIncidenceOverall, totalExposure",,cohort_overlap_review | outcome_scope_review | current_session_only_not_ruled_out | time_loss_outcome_alignment_review,450:incidence:overall:main,81,14362,5.6,5.6,5.6398830246,,,injuryTimeLossCount,injuryIncidenceOverall,,,,,,,all_injuries,incidence,5.6,,450,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,hold_for_source_or_overlap_verification,false,true,not_yet_classified,false,pending,existing_source_family_policy_applies,pending,S2615:existing_source_family_policy,,,,,,false,,,705,28,"FIFA World Cup Qatar 2022, 20 November-18 December; team participation varied",,1,prospective cohort,,,,Time loss,time loss,,team medical staff,reinjury and subsequent injury classifications recorded,number of days of time loss,thigh,muscle/tendon,hamstring muscle injury,source_family_member,standardised.csv notes; ../fifa-gbi-data-extraction/docs/source-family-overlap-methodology-2026-07-27.md,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,,
450,S2615,S2615,Time-loss injuries and illnesses at the FIFA world cup Qatar 2022.,10.1080/24733938.2024.2357568,S2615,Total,training,all_injuries_scope_review,time loss,source_defined_threshold_unconfirmed,Male,Senior,Professional/international,Qatar,Football,injuries per 1000 player-hours; illnesses per 1000 competition days,days lost per 1000 player-hours for injuries; per 1000 competition days for illnesses,player-hours,source construction requires review,"[2026-07-27] Analysis source treatment (27 July 2026): standalone tournament anchor for the FIFA World Cup Qatar 2022. It owns that tournament denominator and remains included in the default analysis export. || [2026-07-13] Batch 019 manual primary-PDF extraction. Methods, Tables 1-2, Figures 1-2, results, discussion, and limitations checked (pp. 275-282). Total-row extraction covers the 705 consenting male players from 28 national teams during FIFA World Cup Qatar 2022. Injury analysis uses 81 events: the source recorded 82 injuries but one player sustained two injuries in different body areas during one incident, so only the most severe was included in analyses. The printed total exposure is 14,362 h while separately printed training and match exposure is 12,227 + 2,136 = 14,363 h; both direct values are retained without reconciliation. The abstract/text reports match incidence 20.6/1000 h and Figure 2 separately prints 46 events and 21.6/1000 h; event counts and the match rate are therefore intentionally left out pending reviewer resolution. Location/tissue rows retain direct Table 1-2 values and inline 95% CIs where reported. The paper reports location/tissue median time loss, not schema-compatible mean-days fields. Illness data are direct total values; respiratory and gastrointestinal counts are system-level values, while infection and drug-related poisoning are etiological values.","source CSV: injuryTrainingCount, injuryIncidenceTraining, trainingExposure",,cohort_overlap_review | outcome_scope_review | current_session_only_not_ruled_out | time_loss_outcome_alignment_review,450:incidence:training:main,,12227,2.1,2.1,,,,injuryTrainingCount,injuryIncidenceTraining,,,,,,,all_injuries,incidence,2.1,,450,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,hold_for_source_or_overlap_verification,false,true,not_yet_classified,true,pending,existing_source_family_policy_applies,pending,S2615:existing_source_family_policy,,approximate_count_from_reported_rate,,25.6767,Approximate point calculation only. Original published precision and population alignment must be verified before use; no rounding bounds or confidence interval inferred.,false,,,705,28,"FIFA World Cup Qatar 2022, 20 November-18 December; team participation varied",,1,prospective cohort,,,,Time loss,time loss,,team medical staff,reinjury and subsequent injury classifications recorded,number of days of time loss,thigh,muscle/tendon,hamstring muscle injury,source_family_member,standardised.csv notes; ../fifa-gbi-data-extraction/docs/source-family-overlap-methodology-2026-07-27.md,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,,
450,S2615,S2615,Time-loss injuries and illnesses at the FIFA world cup Qatar 2022.,10.1080/24733938.2024.2357568,S2615,Total,overall,injuryLocation_abdomen,time loss,source_defined_threshold_unconfirmed,Male,Senior,Professional/international,Qatar,Football,injuries per 1000 player-hours; illnesses per 1000 competition days,days lost per 1000 player-hours for injuries; per 1000 competition days for illnesses,player-hours,source construction requires review,"[2026-07-27] Analysis source treatment (27 July 2026): standalone tournament anchor for the FIFA World Cup Qatar 2022. It owns that tournament denominator and remains included in the default analysis export. || [2026-07-13] Batch 019 manual primary-PDF extraction. Methods, Tables 1-2, Figures 1-2, results, discussion, and limitations checked (pp. 275-282). Total-row extraction covers the 705 consenting male players from 28 national teams during FIFA World Cup Qatar 2022. Injury analysis uses 81 events: the source recorded 82 injuries but one player sustained two injuries in different body areas during one incident, so only the most severe was included in analyses. The printed total exposure is 14,362 h while separately printed training and match exposure is 12,227 + 2,136 = 14,363 h; both direct values are retained without reconciliation. The abstract/text reports match incidence 20.6/1000 h and Figure 2 separately prints 46 events and 21.6/1000 h; event counts and the match rate are therefore intentionally left out pending reviewer resolution. Location/tissue rows retain direct Table 1-2 values and inline 95% CIs where reported. The paper reports location/tissue median time loss, not schema-compatible mean-days fields. Illness data are direct total values; respiratory and gastrointestinal counts are system-level values, while infection and drug-related poisoning are etiological values.",source CSV: injuryLocation_abdomen_incidence,,cohort_overlap_review | outcome_scope_review | current_session_only_not_ruled_out | detailed_outcome_definition_and_setting_review,450:incidence:overall:injuryLocation_abdomen_incidence,,14362,0.14,0.14,,,,,injuryLocation_abdomen_incidence,abdomen,,,,,,injuryLocation_abdomen,incidence,0.14,,450,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,hold_for_source_or_overlap_verification,false,true,not_yet_classified,true,source_column_named_outcome,existing_source_family_policy_applies,pending,S2615:existing_source_family_policy,,approximate_count_from_reported_rate,,2.01068,Approximate point calculation only. Original published precision and population alignment must be verified before use; no rounding bounds or confidence interval inferred.,false,,,705,28,"FIFA World Cup Qatar 2022, 20 November-18 December; team participation varied",,1,prospective cohort,,,,Time loss,time loss,,team medical staff,reinjury and subsequent injury classifications recorded,number of days of time loss,thigh,muscle/tendon,hamstring muscle injury,source_family_member,standardised.csv notes; ../fifa-gbi-data-extraction/docs/source-family-overlap-methodology-2026-07-27.md,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,,
450,S2615,S2615,Time-loss injuries and illnesses at the FIFA world cup Qatar 2022.,10.1080/24733938.2024.2357568,S2615,Total,overall,injuryLocation_ankle,time loss,source_defined_threshold_unconfirmed,Male,Senior,Professional/international,Qatar,Football,injuries per 1000 player-hours; illnesses per 1000 competition days,days lost per 1000 player-hours for injuries; per 1000 competition days for illnesses,player-hours,source construction requires review,"[2026-07-27] Analysis source treatment (27 July 2026): standalone tournament anchor for the FIFA World Cup Qatar 2022. It owns that tournament denominator and remains included in the default analysis export. || [2026-07-13] Batch 019 manual primary-PDF extraction. Methods, Tables 1-2, Figures 1-2, results, discussion, and limitations checked (pp. 275-282). Total-row extraction covers the 705 consenting male players from 28 national teams during FIFA World Cup Qatar 2022. Injury analysis uses 81 events: the source recorded 82 injuries but one player sustained two injuries in different body areas during one incident, so only the most severe was included in analyses. The printed total exposure is 14,362 h while separately printed training and match exposure is 12,227 + 2,136 = 14,363 h; both direct values are retained without reconciliation. The abstract/text reports match incidence 20.6/1000 h and Figure 2 separately prints 46 events and 21.6/1000 h; event counts and the match rate are therefore intentionally left out pending reviewer resolution. Location/tissue rows retain direct Table 1-2 values and inline 95% CIs where reported. The paper reports location/tissue median time loss, not schema-compatible mean-days fields. Illness data are direct total values; respiratory and gastrointestinal counts are system-level values, while infection and drug-related poisoning are etiological values.",source CSV: injuryLocation_ankle_incidence,,cohort_overlap_review | outcome_scope_review | current_session_only_not_ruled_out | detailed_outcome_definition_and_setting_review,450:incidence:overall:injuryLocation_ankle_incidence,,14362,0.91,0.91,,,,,injuryLocation_ankle_incidence,ankle,,,,,,injuryLocation_ankle,incidence,0.91,,450,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,hold_for_source_or_overlap_verification,false,true,not_yet_classified,true,source_column_named_outcome,existing_source_family_policy_applies,pending,S2615:existing_source_family_policy,,approximate_count_from_reported_rate,,13.06942,Approximate point calculation only. Original published precision and population alignment must be verified before use; no rounding bounds or confidence interval inferred.,false,,,705,28,"FIFA World Cup Qatar 2022, 20 November-18 December; team participation varied",,1,prospective cohort,,,,Time loss,time loss,,team medical staff,reinjury and subsequent injury classifications recorded,number of days of time loss,thigh,muscle/tendon,hamstring muscle injury,source_family_member,standardised.csv notes; ../fifa-gbi-data-extraction/docs/source-family-overlap-methodology-2026-07-27.md,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,,
450,S2615,S2615,Time-loss injuries and illnesses at the FIFA world cup Qatar 2022.,10.1080/24733938.2024.2357568,S2615,Total,overall,injuryLocation_foot,time loss,source_defined_threshold_unconfirmed,Male,Senior,Professional/international,Qatar,Football,injuries per 1000 player-hours; illnesses per 1000 competition days,days lost per 1000 player-hours for injuries; per 1000 competition days for illnesses,player-hours,source construction requires review,"[2026-07-27] Analysis source treatment (27 July 2026): standalone tournament anchor for the FIFA World Cup Qatar 2022. It owns that tournament denominator and remains included in the default analysis export. || [2026-07-13] Batch 019 manual primary-PDF extraction. Methods, Tables 1-2, Figures 1-2, results, discussion, and limitations checked (pp. 275-282). Total-row extraction covers the 705 consenting male players from 28 national teams during FIFA World Cup Qatar 2022. Injury analysis uses 81 events: the source recorded 82 injuries but one player sustained two injuries in different body areas during one incident, so only the most severe was included in analyses. The printed total exposure is 14,362 h while separately printed training and match exposure is 12,227 + 2,136 = 14,363 h; both direct values are retained without reconciliation. The abstract/text reports match incidence 20.6/1000 h and Figure 2 separately prints 46 events and 21.6/1000 h; event counts and the match rate are therefore intentionally left out pending reviewer resolution. Location/tissue rows retain direct Table 1-2 values and inline 95% CIs where reported. The paper reports location/tissue median time loss, not schema-compatible mean-days fields. Illness data are direct total values; respiratory and gastrointestinal counts are system-level values, while infection and drug-related poisoning are etiological values.",source CSV: injuryLocation_foot_incidence,,cohort_overlap_review | outcome_scope_review | current_session_only_not_ruled_out | detailed_outcome_definition_and_setting_review,450:incidence:overall:injuryLocation_foot_incidence,,14362,0.35,0.35,,,,,injuryLocation_foot_incidence,foot,,,,,,injuryLocation_foot,incidence,0.35,,450,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,hold_for_source_or_overlap_verification,false,true,not_yet_classified,true,source_column_named_outcome,existing_source_family_policy_applies,pending,S2615:existing_source_family_policy,,approximate_count_from_reported_rate,,5.0267,Approximate point calculation only. Original published precision and population alignment must be verified before use; no rounding bounds or confidence interval inferred.,false,,,705,28,"FIFA World Cup Qatar 2022, 20 November-18 December; team participation varied",,1,prospective cohort,,,,Time loss,time loss,,team medical staff,reinjury and subsequent injury classifications recorded,number of days of time loss,thigh,muscle/tendon,hamstring muscle injury,source_family_member,standardised.csv notes; ../fifa-gbi-data-extraction/docs/source-family-overlap-methodology-2026-07-27.md,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,,
450,S2615,S2615,Time-loss injuries and illnesses at the FIFA world cup Qatar 2022.,10.1080/24733938.2024.2357568,S2615,Total,overall,injuryLocation_groin,time loss,source_defined_threshold_unconfirmed,Male,Senior,Professional/international,Qatar,Football,injuries per 1000 player-hours; illnesses per 1000 competition days,days lost per 1000 player-hours for injuries; per 1000 competition days for illnesses,player-hours,source construction requires review,"[2026-07-27] Analysis source treatment (27 July 2026): standalone tournament anchor for the FIFA World Cup Qatar 2022. It owns that tournament denominator and remains included in the default analysis export. || [2026-07-13] Batch 019 manual primary-PDF extraction. Methods, Tables 1-2, Figures 1-2, results, discussion, and limitations checked (pp. 275-282). Total-row extraction covers the 705 consenting male players from 28 national teams during FIFA World Cup Qatar 2022. Injury analysis uses 81 events: the source recorded 82 injuries but one player sustained two injuries in different body areas during one incident, so only the most severe was included in analyses. The printed total exposure is 14,362 h while separately printed training and match exposure is 12,227 + 2,136 = 14,363 h; both direct values are retained without reconciliation. The abstract/text reports match incidence 20.6/1000 h and Figure 2 separately prints 46 events and 21.6/1000 h; event counts and the match rate are therefore intentionally left out pending reviewer resolution. Location/tissue rows retain direct Table 1-2 values and inline 95% CIs where reported. The paper reports location/tissue median time loss, not schema-compatible mean-days fields. Illness data are direct total values; respiratory and gastrointestinal counts are system-level values, while infection and drug-related poisoning are etiological values.",source CSV: injuryLocation_groin_incidence,,cohort_overlap_review | outcome_scope_review | current_session_only_not_ruled_out | detailed_outcome_definition_and_setting_review,450:incidence:overall:injuryLocation_groin_incidence,,14362,0.49,0.49,,,,,injuryLocation_groin_incidence,groin,,,,,,injuryLocation_groin,incidence,0.49,,450,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,hold_for_source_or_overlap_verification,false,true,not_yet_classified,true,source_column_named_outcome,existing_source_family_policy_applies,pending,S2615:existing_source_family_policy,,approximate_count_from_reported_rate,,7.03738,Approximate point calculation only. Original published precision and population alignment must be verified before use; no rounding bounds or confidence interval inferred.,false,,,705,28,"FIFA World Cup Qatar 2022, 20 November-18 December; team participation varied",,1,prospective cohort,,,,Time loss,time loss,,team medical staff,reinjury and subsequent injury classifications recorded,number of days of time loss,thigh,muscle/tendon,hamstring muscle injury,source_family_member,standardised.csv notes; ../fifa-gbi-data-extraction/docs/source-family-overlap-methodology-2026-07-27.md,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,,
450,S2615,S2615,Time-loss injuries and illnesses at the FIFA world cup Qatar 2022.,10.1080/24733938.2024.2357568,S2615,Total,overall,injuryLocation_head,time loss,source_defined_threshold_unconfirmed,Male,Senior,Professional/international,Qatar,Football,injuries per 1000 player-hours; illnesses per 1000 competition days,days lost per 1000 player-hours for injuries; per 1000 competition days for illnesses,player-hours,source construction requires review,"[2026-07-27] Analysis source treatment (27 July 2026): standalone tournament anchor for the FIFA World Cup Qatar 2022. It owns that tournament denominator and remains included in the default analysis export. || [2026-07-13] Batch 019 manual primary-PDF extraction. Methods, Tables 1-2, Figures 1-2, results, discussion, and limitations checked (pp. 275-282). Total-row extraction covers the 705 consenting male players from 28 national teams during FIFA World Cup Qatar 2022. Injury analysis uses 81 events: the source recorded 82 injuries but one player sustained two injuries in different body areas during one incident, so only the most severe was included in analyses. The printed total exposure is 14,362 h while separately printed training and match exposure is 12,227 + 2,136 = 14,363 h; both direct values are retained without reconciliation. The abstract/text reports match incidence 20.6/1000 h and Figure 2 separately prints 46 events and 21.6/1000 h; event counts and the match rate are therefore intentionally left out pending reviewer resolution. Location/tissue rows retain direct Table 1-2 values and inline 95% CIs where reported. The paper reports location/tissue median time loss, not schema-compatible mean-days fields. Illness data are direct total values; respiratory and gastrointestinal counts are system-level values, while infection and drug-related poisoning are etiological values.",source CSV: injuryLocation_head_incidence,,cohort_overlap_review | outcome_scope_review | current_session_only_not_ruled_out | detailed_outcome_definition_and_setting_review,450:incidence:overall:injuryLocation_head_incidence,,14362,0.14,0.14,,,,,injuryLocation_head_incidence,head,,,,,,injuryLocation_head,incidence,0.14,,450,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,hold_for_source_or_overlap_verification,false,true,not_yet_classified,true,source_column_named_outcome,existing_source_family_policy_applies,pending,S2615:existing_source_family_policy,,approximate_count_from_reported_rate,,2.01068,Approximate point calculation only. Original published precision and population alignment must be verified before use; no rounding bounds or confidence interval inferred.,false,,,705,28,"FIFA World Cup Qatar 2022, 20 November-18 December; team participation varied",,1,prospective cohort,,,,Time loss,time loss,,team medical staff,reinjury and subsequent injury classifications recorded,number of days of time loss,thigh,muscle/tendon,hamstring muscle injury,source_family_member,standardised.csv notes; ../fifa-gbi-data-extraction/docs/source-family-overlap-methodology-2026-07-27.md,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,,
450,S2615,S2615,Time-loss injuries and illnesses at the FIFA world cup Qatar 2022.,10.1080/24733938.2024.2357568,S2615,Total,overall,injuryLocation_hip,time loss,source_defined_threshold_unconfirmed,Male,Senior,Professional/international,Qatar,Football,injuries per 1000 player-hours; illnesses per 1000 competition days,days lost per 1000 player-hours for injuries; per 1000 competition days for illnesses,player-hours,source construction requires review,"[2026-07-27] Analysis source treatment (27 July 2026): standalone tournament anchor for the FIFA World Cup Qatar 2022. It owns that tournament denominator and remains included in the default analysis export. || [2026-07-13] Batch 019 manual primary-PDF extraction. Methods, Tables 1-2, Figures 1-2, results, discussion, and limitations checked (pp. 275-282). Total-row extraction covers the 705 consenting male players from 28 national teams during FIFA World Cup Qatar 2022. Injury analysis uses 81 events: the source recorded 82 injuries but one player sustained two injuries in different body areas during one incident, so only the most severe was included in analyses. The printed total exposure is 14,362 h while separately printed training and match exposure is 12,227 + 2,136 = 14,363 h; both direct values are retained without reconciliation. The abstract/text reports match incidence 20.6/1000 h and Figure 2 separately prints 46 events and 21.6/1000 h; event counts and the match rate are therefore intentionally left out pending reviewer resolution. Location/tissue rows retain direct Table 1-2 values and inline 95% CIs where reported. The paper reports location/tissue median time loss, not schema-compatible mean-days fields. Illness data are direct total values; respiratory and gastrointestinal counts are system-level values, while infection and drug-related poisoning are etiological values.",source CSV: injuryLocation_hip_incidence,,cohort_overlap_review | outcome_scope_review | current_session_only_not_ruled_out | detailed_outcome_definition_and_setting_review,450:incidence:overall:injuryLocation_hip_incidence,,14362,0.21,0.21,,,,,injuryLocation_hip_incidence,hip,,,,,,injuryLocation_hip,incidence,0.21,,450,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,hold_for_source_or_overlap_verification,false,true,not_yet_classified,true,source_column_named_outcome,existing_source_family_policy_applies,pending,S2615:existing_source_family_policy,,approximate_count_from_reported_rate,,3.01602,Approximate point calculation only. Original published precision and population alignment must be verified before use; no rounding bounds or confidence interval inferred.,false,,,705,28,"FIFA World Cup Qatar 2022, 20 November-18 December; team participation varied",,1,prospective cohort,,,,Time loss,time loss,,team medical staff,reinjury and subsequent injury classifications recorded,number of days of time loss,thigh,muscle/tendon,hamstring muscle injury,source_family_member,standardised.csv notes; ../fifa-gbi-data-extraction/docs/source-family-overlap-methodology-2026-07-27.md,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,,
450,S2615,S2615,Time-loss injuries and illnesses at the FIFA world cup Qatar 2022.,10.1080/24733938.2024.2357568,S2615,Total,overall,injuryLocation_knee,time loss,source_defined_threshold_unconfirmed,Male,Senior,Professional/international,Qatar,Football,injuries per 1000 player-hours; illnesses per 1000 competition days,days lost per 1000 player-hours for injuries; per 1000 competition days for illnesses,player-hours,source construction requires review,"[2026-07-27] Analysis source treatment (27 July 2026): standalone tournament anchor for the FIFA World Cup Qatar 2022. It owns that tournament denominator and remains included in the default analysis export. || [2026-07-13] Batch 019 manual primary-PDF extraction. Methods, Tables 1-2, Figures 1-2, results, discussion, and limitations checked (pp. 275-282). Total-row extraction covers the 705 consenting male players from 28 national teams during FIFA World Cup Qatar 2022. Injury analysis uses 81 events: the source recorded 82 injuries but one player sustained two injuries in different body areas during one incident, so only the most severe was included in analyses. The printed total exposure is 14,362 h while separately printed training and match exposure is 12,227 + 2,136 = 14,363 h; both direct values are retained without reconciliation. The abstract/text reports match incidence 20.6/1000 h and Figure 2 separately prints 46 events and 21.6/1000 h; event counts and the match rate are therefore intentionally left out pending reviewer resolution. Location/tissue rows retain direct Table 1-2 values and inline 95% CIs where reported. The paper reports location/tissue median time loss, not schema-compatible mean-days fields. Illness data are direct total values; respiratory and gastrointestinal counts are system-level values, while infection and drug-related poisoning are etiological values.",source CSV: injuryLocation_knee_incidence,,cohort_overlap_review | outcome_scope_review | current_session_only_not_ruled_out | detailed_outcome_definition_and_setting_review,450:incidence:overall:injuryLocation_knee_incidence,,14362,0.7,0.7,,,,,injuryLocation_knee_incidence,knee,,,,,,injuryLocation_knee,incidence,0.7,,450,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,hold_for_source_or_overlap_verification,false,true,not_yet_classified,true,source_column_named_outcome,existing_source_family_policy_applies,pending,S2615:existing_source_family_policy,,approximate_count_from_reported_rate,,10.0534,Approximate point calculation only. Original published precision and population alignment must be verified before use; no rounding bounds or confidence interval inferred.,false,,,705,28,"FIFA World Cup Qatar 2022, 20 November-18 December; team participation varied",,1,prospective cohort,,,,Time loss,time loss,,team medical staff,reinjury and subsequent injury classifications recorded,number of days of time loss,thigh,muscle/tendon,hamstring muscle injury,source_family_member,standardised.csv notes; ../fifa-gbi-data-extraction/docs/source-family-overlap-methodology-2026-07-27.md,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,,
450,S2615,S2615,Time-loss injuries and illnesses at the FIFA world cup Qatar 2022.,10.1080/24733938.2024.2357568,S2615,Total,overall,injuryLocation_lower_leg,time loss,source_defined_threshold_unconfirmed,Male,Senior,Professional/international,Qatar,Football,injuries per 1000 player-hours; illnesses per 1000 competition days,days lost per 1000 player-hours for injuries; per 1000 competition days for illnesses,player-hours,source construction requires review,"[2026-07-27] Analysis source treatment (27 July 2026): standalone tournament anchor for the FIFA World Cup Qatar 2022. It owns that tournament denominator and remains included in the default analysis export. || [2026-07-13] Batch 019 manual primary-PDF extraction. Methods, Tables 1-2, Figures 1-2, results, discussion, and limitations checked (pp. 275-282). Total-row extraction covers the 705 consenting male players from 28 national teams during FIFA World Cup Qatar 2022. Injury analysis uses 81 events: the source recorded 82 injuries but one player sustained two injuries in different body areas during one incident, so only the most severe was included in analyses. The printed total exposure is 14,362 h while separately printed training and match exposure is 12,227 + 2,136 = 14,363 h; both direct values are retained without reconciliation. The abstract/text reports match incidence 20.6/1000 h and Figure 2 separately prints 46 events and 21.6/1000 h; event counts and the match rate are therefore intentionally left out pending reviewer resolution. Location/tissue rows retain direct Table 1-2 values and inline 95% CIs where reported. The paper reports location/tissue median time loss, not schema-compatible mean-days fields. Illness data are direct total values; respiratory and gastrointestinal counts are system-level values, while infection and drug-related poisoning are etiological values.",source CSV: injuryLocation_lower_leg_incidence,,cohort_overlap_review | outcome_scope_review | current_session_only_not_ruled_out | detailed_outcome_definition_and_setting_review,450:incidence:overall:injuryLocation_lower_leg_incidence,,14362,0.77,0.77,,,,,injuryLocation_lower_leg_incidence,lower leg,,,,,,injuryLocation_lower_leg,incidence,0.77,,450,/Users/abdelbabiker/Desktop/GBI-DE-MVP-main/Bayesian Analysis/analysis/model-input-releases/2026-09-14-injury-candidates/standardised.csv,hold_for_source_or_overlap_verification,false,true,not_yet_classified,true,source_column_named_outcome,existing_source_family_policy_applies,pending,S2615:existing_source_family_policy,,approximate_count_from_reported_rate,,11.05874,Approximate point calculation only. Original published precision and population alignment must be verified before use; no rounding bounds or confidence interval inferred.,false,,,705,28,"FIFA World Cup Qatar 2022, 20 November-18 December; team participation varied",,1,prospective cohort,,,,Time loss,time loss,,team medical staff,reinjury and subsequent injury classifications recorded,number of days of time loss,thigh,muscle/tendon,hamstring muscle injury,source_family_member,standardised.csv notes; ../fifa-gbi-data-extraction/docs/source-family-overlap-methodology-2026-07-27.md,,,,,not_documented_in_bounded_inventory,not_individually_adjudicated,not_yet_classified,,,,
