parent_observation_id,detailed_observation_id,parent_source_row,paper_id,metric,setting,parent_numerical_route,parent_reverse_exposure_supported,parent_alignment_status,detailed_numerical_route,detailed_reverse_exposure_supported,detailed_alignment_status,parent_selection,detailed_selection,selection_rule,pair_review_locator,evidence
854:incidence:overall:main,854:incidence:overall:injuryLocation_thigh_incidence,854,S4800,incidence,overall,count_and_exposure,false,supported,descriptive_rate_without_usable_sampling_information,false,supported,select,duplicate,select_quantitative_parent,matching-overall-category-adjudication.csv parent=854:incidence:overall:main; detailed=854:incidence:overall:injuryLocation_thigh_incidence,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
855:incidence:overall:main,855:incidence:overall:injuryLocation_thigh_incidence,855,S4800,incidence,overall,count_and_exposure,false,supported,descriptive_rate_without_usable_sampling_information,false,supported,select,duplicate,select_quantitative_parent,matching-overall-category-adjudication.csv parent=855:incidence:overall:main; detailed=855:incidence:overall:injuryLocation_thigh_incidence,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
891:burden:overall:main,891:burden:overall:injuryLocation_head_burden,891,S5005,burden,overall,days_and_exposure,false,hold,reported_rate_and_interval,false,hold,hold,hold,hold_quantitative_parent_scope_unverified,matching-overall-category-adjudication.csv parent=891:burden:overall:main; detailed=891:burden:overall:injuryLocation_head_burden,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
891:burden:overall:main,891:burden:overall:injuryTissueType_injury_diagnosis_burden,891,S5005,burden,overall,days_and_exposure,false,hold,reported_rate_and_interval,false,hold,hold,hold,hold_quantitative_parent_scope_unverified,matching-overall-category-adjudication.csv parent=891:burden:overall:main; detailed=891:burden:overall:injuryTissueType_injury_diagnosis_burden,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
892:burden:overall:main,892:burden:overall:injuryLocation_head_burden,892,S5005,burden,overall,days_and_exposure,false,hold,reported_rate_and_interval,false,hold,hold,hold,hold_quantitative_parent_scope_unverified,matching-overall-category-adjudication.csv parent=892:burden:overall:main; detailed=892:burden:overall:injuryLocation_head_burden,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
892:burden:overall:main,892:burden:overall:injuryTissueType_concussion_burden,892,S5005,burden,overall,days_and_exposure,false,hold,reported_rate_and_interval,false,hold,hold,hold,hold_quantitative_parent_scope_unverified,matching-overall-category-adjudication.csv parent=892:burden:overall:main; detailed=892:burden:overall:injuryTissueType_concussion_burden,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
892:burden:overall:main,892:burden:overall:injuryTissueType_injury_diagnosis_burden,892,S5005,burden,overall,days_and_exposure,false,hold,reported_rate_and_interval,false,hold,hold,hold,hold_quantitative_parent_scope_unverified,matching-overall-category-adjudication.csv parent=892:burden:overall:main; detailed=892:burden:overall:injuryTissueType_injury_diagnosis_burden,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
893:burden:overall:main,893:burden:overall:injuryLocation_head_burden,893,S5005,burden,overall,days_and_exposure,false,hold,reported_rate_and_interval,false,hold,hold,hold,hold_quantitative_parent_scope_unverified,matching-overall-category-adjudication.csv parent=893:burden:overall:main; detailed=893:burden:overall:injuryLocation_head_burden,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
893:burden:overall:main,893:burden:overall:injuryTissueType_concussion_burden,893,S5005,burden,overall,days_and_exposure,false,hold,reported_rate_and_interval,false,hold,hold,hold,hold_quantitative_parent_scope_unverified,matching-overall-category-adjudication.csv parent=893:burden:overall:main; detailed=893:burden:overall:injuryTissueType_concussion_burden,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
893:burden:overall:main,893:burden:overall:injuryTissueType_injury_diagnosis_burden,893,S5005,burden,overall,days_and_exposure,false,hold,reported_rate_and_interval,false,hold,hold,hold,hold_quantitative_parent_scope_unverified,matching-overall-category-adjudication.csv parent=893:burden:overall:main; detailed=893:burden:overall:injuryTissueType_injury_diagnosis_burden,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
923:incidence:overall:main,923:incidence:overall:injuryLocation_ankle_incidence,923,S515,incidence,overall,descriptive_rate_without_usable_sampling_information,true,hold,descriptive_rate_without_usable_sampling_information,false,supported,hold,select,hold_quantitative_parent_scope_unverified,matching-overall-category-adjudication.csv parent=923:incidence:overall:main; detailed=923:incidence:overall:injuryLocation_ankle_incidence,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
966:incidence:overall:main,966:incidence:overall:injuryLocation_lower_limb_overall_incidence,966,S5323,incidence,overall,descriptive_rate_without_usable_sampling_information,true,hold,descriptive_rate_without_usable_sampling_information,false,supported,hold,select,hold_quantitative_parent_scope_unverified,matching-overall-category-adjudication.csv parent=966:incidence:overall:main; detailed=966:incidence:overall:injuryLocation_lower_limb_overall_incidence,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
