raw_outcome_scope,outcome_scope,metric_alignment_status,observations
injuryLocation_shoulder,injuryLocation_shoulder,supported,34
injuryLocation_shoulder,restricted_shoulder_injury,supported,1
injuryLocation_shoulder,restricted_upper_limb_injuries_among_goalkeepers,supported,2
injuryLocation_side_left,injuryLocation_side_left,supported,2
injuryLocation_side_right,injuryLocation_side_right,supported,2
injuryLocation_thigh,injuryLocation_thigh,hold,9
injuryLocation_thigh,injuryLocation_thigh,supported,80
injuryLocation_thigh,restricted_MRI_confirmed_hamstring_injury_4day_absence,supported,7
injuryLocation_thigh,restricted_acute_muscle_strain,supported,1
injuryLocation_thigh,restricted_hamstring_injury,supported,2
injuryLocation_thigh,restricted_hamstring_muscle_injury,hold,2
injuryLocation_thigh,restricted_hamstring_muscle_injury,supported,1
injuryLocation_thigh,restricted_hamstring_strain_injury,supported,4
injuryLocation_thigh,restricted_lower_limb,supported,1
injuryLocation_thigh,restricted_muscle,supported,9
injuryLocation_thigh,restricted_non_contact_hamstring_injury,supported,1
injuryLocation_thigh,restricted_non_contact_hamstring_injury_during_official_match,supported,1
injuryLocation_thigh,restricted_non_contact_lower_limb_injury,supported,1
injuryLocation_thigh,restricted_posterior_thigh_hamstring_strain_injury,supported,4
injuryLocation_thoracic_spine,injuryLocation_thoracic_spine,hold,1
injuryLocation_thoracic_spine,injuryLocation_thoracic_spine,supported,3
injuryLocation_trunk_overall,injuryLocation_trunk_overall,hold,5
injuryLocation_trunk_overall,injuryLocation_trunk_overall,supported,25
injuryLocation_unspecified,injuryLocation_unspecified,hold,4
injuryLocation_upper_arm,injuryLocation_upper_arm,supported,8
injuryLocation_upper_arm,restricted_upper_limb_injuries_among_goalkeepers,supported,2
injuryLocation_upper_limb_overall,injuryLocation_upper_limb_overall,hold,5
injuryLocation_upper_limb_overall,injuryLocation_upper_limb_overall,supported,39
injuryLocation_wrist,injuryLocation_wrist,hold,2
injuryLocation_wrist,injuryLocation_wrist,supported,9
injuryLocation_wrist,restricted_upper_limb_injuries_among_goalkeepers,supported,2
injuryTissueType_abrasion,injuryTissueType_abrasion,hold,1
injuryTissueType_abrasion,injuryTissueType_abrasion,supported,5
injuryTissueType_bone,injuryTissueType_bone,hold,20
injuryTissueType_bone,injuryTissueType_bone,supported,28
injuryTissueType_bone,restricted_ankle,supported,1
injuryTissueType_bone_contusion,injuryTissueType_bone_contusion,hold,1
injuryTissueType_bone_fracture,injuryTissueType_bone_fracture,hold,7
injuryTissueType_bone_fracture,injuryTissueType_bone_fracture,supported,49
injuryTissueType_bone_fracture,restricted_ankle,hold,1
injuryTissueType_bone_fracture,restricted_ankle,supported,1
injuryTissueType_bone_fracture,restricted_lower_limb,supported,1
injuryTissueType_bone_fracture,restricted_shoulder_injury,supported,1
injuryTissueType_bone_stress,injuryTissueType_bone_stress,hold,2
injuryTissueType_bone_stress,injuryTissueType_bone_stress,supported,4
injuryTissueType_brain_spinal,injuryTissueType_brain_spinal,hold,1
injuryTissueType_brain_spinal,injuryTissueType_brain_spinal,supported,1
injuryTissueType_bursitis,injuryTissueType_bursitis,supported,1
injuryTissueType_cartilage_injury,injuryTissueType_cartilage_injury,hold,3
injuryTissueType_cartilage_injury,injuryTissueType_cartilage_injury,supported,17
injuryTissueType_cartilage_synovium_bursa,injuryTissueType_cartilage_synovium_bursa,hold,3
injuryTissueType_cartilage_synovium_bursa,injuryTissueType_cartilage_synovium_bursa,supported,11
injuryTissueType_concussion,injuryTissueType_concussion,hold,8
injuryTissueType_concussion,injuryTissueType_concussion,supported,36
injuryTissueType_concussion,restricted_diagnosed_sports_related_concussion,hold,1
injuryTissueType_concussion,restricted_head_and_neck_injury,supported,1
injuryTissueType_concussion,restricted_medically_diagnosed_concussion,supported,8
injuryTissueType_concussion,restricted_suspected_sports_related_concussion,hold,1
injuryTissueType_injury_diagnosis,injuryTissueType_injury_diagnosis,hold,1
injuryTissueType_injury_diagnosis,injuryTissueType_injury_diagnosis,supported,34
injuryTissueType_injury_diagnosis,restricted_acute_muscle_strain,supported,1
injuryTissueType_injury_diagnosis,restricted_ankle,hold,1
injuryTissueType_injury_diagnosis,restricted_complete_ACL_rupture_confirmed_by_MRI,supported,2
injuryTissueType_injury_diagnosis,restricted_diagnosed_sports_related_concussion,hold,1
injuryTissueType_injury_diagnosis,restricted_groin_injury,supported,2
injuryTissueType_injury_diagnosis,restricted_match_related_head_injury,hold,1
injuryTissueType_injury_diagnosis,restricted_non_contact_hamstring_injury_during_official_match,supported,1
injuryTissueType_injury_diagnosis,restricted_non_contact_lower_limb_injury,supported,1
injuryTissueType_injury_diagnosis,restricted_posterior_thigh_hamstring_strain_injury,supported,4
injuryTissueType_injury_diagnosis,restricted_suspected_sports_related_concussion,hold,1
injuryTissueType_joint_sprain,injuryTissueType_joint_sprain,hold,7
injuryTissueType_joint_sprain,injuryTissueType_joint_sprain,supported,35
injuryTissueType_joint_sprain,restricted_ankle,hold,1
injuryTissueType_joint_sprain,restricted_ankle,supported,1
injuryTissueType_joint_sprain,restricted_shoulder_injury,supported,1
injuryTissueType_laceration,injuryTissueType_laceration,hold,1
injuryTissueType_laceration,injuryTissueType_laceration,supported,11
injuryTissueType_laceration,restricted_lower_limb,supported,1
injuryTissueType_ligament_joint_capsule,injuryTissueType_ligament_joint_capsule,hold,8
injuryTissueType_ligament_joint_capsule,injuryTissueType_ligament_joint_capsule,supported,50
injuryTissueType_ligament_joint_capsule,restricted_ankle,supported,1
injuryTissueType_muscle_contusion,injuryTissueType_muscle_contusion,hold,3
